(*, *, *, 1, 1): 77017
(*, *, *, 1, 0): 10541
(*, *, *, 0, *): 12442
(*, *, *, 0, 1): 10586
(*, *, *, 0, 0): 1856
(*, *, *, *, 1): 87603
(*, *, *, *, 0): 12397

(0, 0, 0, 0, 0): 0
(*, *, *, *, *): 100000
------------------------------
Cell Counts: 191
Pruned Cells: 52
